price age km TIA extra1 extra2 kop1 kop2 kop3 ageop1 ageop2 ageop3
7.3 73 10 12 1 1 -2.7977325 5.3033258 -6.9889677 -2.1203069 2.4624496 -1.7375129
3.85 115 30 20 1 0 -2.3491435 3.5566246 -3.2361182 0.09538774 -0.93240536 -0.61970997
2.95 127 43 6 0 1 -2.0575607 2.5806036 -1.5494217 0.72844334 -0.12493279 -0.8461416
4.8 104 54 25 1 1 -1.8108368 1.8527918 -0.52259549 -0.48491323 -0.97862239 0.4503119
6.2 86 57 23 0 0 -1.7435484 1.6698969 -0.30011838 -1.4344966 0.3775693 1.0457307
5.9 74 57 25 1 0 -1.7435484 1.6698969 -0.30011838 -2.0675522 2.2691588 -1.3783678
4.9 108 58 25 1 1 -1.721119 1.6104175 -0.2311175 -0.2738947 -1.0386188 0.03871941
4.7 110 65 19 1 1 -1.5641128 1.2148612 0.18300434 -0.16838543 -1.0357016 -0.16566488
6.35 90 67.5 19 1 1 -1.5080392 1.082412 0.30303876 -1.2234781 -0.07741179 1.2293705
5.9 78 68 12 0 0 -1.4968245 1.0564793 0.32536675 -1.8565337 1.5508546 -0.2054782
3.823 101 69 8 1 0 -1.474395 1.005171 0.3683763 -0.64317713 -0.87602316 0.73555846
4.4 114 69.5 21 1 1 -1.4631803 0.97979537 0.38906596 0.0426331 -0.9640364 -0.53869686
5.555 89 71 25 1 1 -1.4295361 0.90478279 0.44792311 -1.2762327 0.02810463 1.2065578
4.9 97 72 12 1 0 -1.4071067 0.85570293 0.48452525 -0.85419566 -0.66242161 1.0423855
4.95 98 75 12 1 0 -1.3398184 0.71292026 0.58203579 -0.80144103 -0.72405084 0.97602239
4.95 98 75 12 1 0 -1.3398184 0.71292026 0.58203579 -0.80144103 -0.72405084 0.97602239
3.95 133 76.1 18 1 1 -1.315146 0.66224175 0.61329276 1.0449711 0.57504203 -0.16168243
6.5 78 77 6 0 0 -1.2949595 0.62144592 0.63712062 -1.8565337 1.5508546 -0.2054782
5.5 91 78 18 0 1 -1.27253 0.57682297 0.66178368 -1.1707235 -0.17744232 1.2381563
2.5 115 78 25 1 1 -1.27253 0.57682297 0.66178368 0.09538774 -0.93240536 -0.61970997
4.499 80 79 24 1 1 -1.2501006 0.53294285 0.68457042 -1.7510244 1.2246179 0.2342715
2.222 139 79.431 22 0 1 -1.2404335 0.5142596 0.69382098 1.3614989 1.4725092 1.2915314
5 87 85 25 1 1 -1.1155239 0.28526131 0.7837044 -1.381742 0.25559518 1.1155607
4.5 98 85 6 1 1 -1.1155239 0.28526131 0.7837044 -0.80144103 -0.72405084 0.97602239
2.5 89 85 19 0 1 -1.1155239 0.28526131 0.7837044 -1.2762327 0.02810463 1.2065578
6.5 97 87 14 0 1 -1.070665 0.20864335 0.80320886 -0.85419566 -0.66242161 1.0423855
2.9 96 87 25 1 1 -1.070665 0.20864335 0.80320886 -0.9069503 -0.59530647 1.1004815
6.6 78 88 19 0 0 -1.0482355 0.1714486 0.81056826 -1.8565337 1.5508546 -0.2054782
5.2 75 92.95 10 0 0 -0.93720984 -0.00172637 0.82477143 -2.0147976 2.0813539 -1.0464146
3.85 119 93.5 24 1 1 -0.92487358 -0.01984463 0.82417309 0.30640627 -0.75102222 -0.87009832
3.25 123 96 10 1 1 -0.86879996 -0.0993679 0.81629694 0.51742481 -0.48186469 -0.96312896
2.4 110 97 24 1 1 -0.84637051 -0.12987728 0.81085623 -0.16838543 -1.0357016 -0.16566488
5.2 81 97 20 0 1 -0.84637051 -0.12987728 0.81085623 -1.6982698 1.0697284 0.42035244
4.6 95 98 14 1 1 -0.82394106 -0.15964384 0.80415547 -0.95970493 -0.52270544 1.1494876
6.6 113 98 25 0 1 -0.82394106 -0.15964384 0.80415547 -0.01012153 -0.99018155 -0.45196298
3.3 126 98.9 16 1 0 -0.80375453 -0.18579867 0.79707422 0.67568871 -0.22239461 -0.89795749
4.35 92 100 17 1 1 -0.77908217 -0.21694849 0.7871035 -1.1179688 -0.27198695 1.2337381
2.25 128 101 7 1 0 -0.75665272 -0.24448659 0.77681717 0.78119797 -0.02198506 -0.77790832
3.899 114 101.963 19 1 0 -0.73505322 -0.27030361 0.76584273 0.0426331 -0.9640364 -0.53869686
5.45 91 102 6 0 0 -0.73422327 -0.27128187 0.76540052 -1.1707235 -0.17744232 1.2381563
5.45 90 105 23 0 1 -0.66693493 -0.34721079 0.72469301 -1.2234781 -0.07741179 1.2293705
2.4 133 106 25 0 1 -0.64450548 -0.37103479 0.70907944 1.0449711 0.57504203 -0.16168243
7 65 107 20 0 1 -0.62207603 -0.39411597 0.69249772 -2.5423439 4.2062684 -5.6883205
3.7 122 107 20 1 1 -0.62207603 -0.39411597 0.69249772 0.46467017 -0.55738292 -0.95750345
2.9 100 107 21 1 1 -0.62207603 -0.39411597 0.69249772 -0.69593176 -0.83085162 0.82178604
5 90 107 17 0 0 -0.62207603 -0.39411597 0.69249772 -1.2234781 -0.07741179 1.2293705
2.9 141 108 20 0 1 -0.59964659 -0.41645433 0.67498029 1.4670082 1.8155521 1.9774888
2.45 131 108 25 0 0 -0.59964659 -0.41645433 0.67498029 0.93946187 0.3197735 -0.46647595
3.4 115 109 20 1 1 -0.57721714 -0.43804987 0.65655958 0.09538774 -0.93240536 -0.61970997
4.2 131 110 25 0 1 -0.55478769 -0.4589026 0.63726804 0.93946187 0.3197735 -0.46647595
2.7 107 110 18 1 1 -0.55478769 -0.4589026 0.63726804 -0.32664933 -1.0318485 0.14249877
3.39 115 110.8 16 1 1 -0.53684407 -0.47505 0.62122954 0.09538774 -0.93240536 -0.61970997
3.6 73 111 6 1 1 -0.53235824 -0.4790125 0.6171381 -2.1203069 2.4624496 -1.7375129
3.2 119 112 18 1 0 -0.5099288 -0.49837958 0.59620218 0.30640627 -0.75102222 -0.87009832
3.99 100 112 9 1 1 -0.5099288 -0.49837958 0.59620218 -0.69593176 -0.83085162 0.82178604
2.35 125 112 25 0 1 -0.5099288 -0.49837958 0.59620218 0.62293407 -0.31437054 -0.9341788
3.6 135 112 22 0 1 -0.5099288 -0.49837958 0.59620218 1.1504804 0.85225415 0.22852828
2.5 131 113 25 0 1 -0.48749935 -0.51700385 0.57449273 0.93946187 0.3197735 -0.46647595
3.6 108 115 24 1 1 -0.44264045 -0.55202392 0.52888297 -0.2738947 -1.0386188 0.03871941
4.5 134 116.7 0 0 1 -0.40451046 -0.57945477 0.48797781 1.0977258 0.71090514 0.02233437
3.2 128 118 16 0 0 -0.37535211 -0.59898288 0.4554777 0.78119797 -0.02198506 -0.77790832
6.15 72 118 10 1 1 -0.37535211 -0.59898288 0.4554777 -2.1730615 2.6612263 -2.1246727
1.555 124 119 9 1 1 -0.35292266 -0.61315023 0.42980818 0.57017944 -0.40086056 -0.95562835
4.5 78 119 24 1 0 -0.35292266 -0.61315023 0.42980818 -1.8565337 1.5508546 -0.2054782
1.555 124 119 9 0 1 -0.35292266 -0.61315023 0.42980818 0.57017944 -0.40086056 -0.95562835
2.35 132 119 24 1 1 -0.35292266 -0.61315023 0.42980818 0.99221651 0.44466481 -0.32434493
3.75 106 119 11 1 1 -0.35292266 -0.61315023 0.42980818 -0.37940396 -1.0195924 0.24623918
5.6 77 120 7 1 1 -0.33049322 -0.62657476 0.40359217 -1.9092883 1.7222018 -0.46079259
3.299 127 120 6 1 1 -0.33049322 -0.62657476 0.40359217 0.72844334 -0.12493279 -0.8461416
2 142 120 19 1 1 -0.33049322 -0.62657476 0.40359217 1.5197628 1.9953024 2.3619614
2.8 129 120 5 1 0 -0.33049322 -0.62657476 0.40359217 0.83395261 0.08644856 -0.69243483
3.5 135 122 11 1 1 -0.28563432 -0.65119536 0.34965042 1.1504804 0.85225415 0.22852828
3 107 122 23 1 1 -0.28563432 -0.65119536 0.34965042 -0.32664933 -1.0318485 0.14249877
2.9 109 123 24 1 1 -0.26320487 -0.66239143 0.32198956 -0.22114006 -1.0399031 -0.06427608
4.85 100 124 25 1 0 -0.24077543 -0.67284468 0.29391194 -0.69593176 -0.83085162 0.82178604
2.8 108 124.85 25 1 1 -0.22171043 -0.68114589 0.26974257 -0.2738947 -1.0386188 0.03871941
